,id,env,H_low,H_high,H_p,H_ev,L_low,L_high,L_p,L_ev
0,23,1,39,176,0.94649,46.33,31,161,0.96,36.2
1,20,1,0,80,0.65181,27.86,0,176,0.94843,9.08
2,7,1,0,152,0.87737,18.64,2,128,0.96,7.04
3,27,0,44,77,0.51645,59.96,7,53,0.56375,27.07
4,27,0,26,80,0.50389,52.79,26,40,0.57857,31.9
5,31,0,26,78,0.46833,53.65,26,49,0.52273,36.98
6,22,1,26,156,0.87377,42.41,1,148,0.9164,13.29
7,28,0,32,62,0.46063,48.18,33,44,0.5327,38.14
8,14,1,46,172,0.78369,73.26,44,172,0.96,49.12
9,22,1,5,105,0.7689,28.11,6,126,0.90506,17.39
10,4,0,38,71,0.50404,54.37,30,67,0.63654,43.45
11,17,0,3,41,0.49063,22.36,4,15,0.72265,7.05
12,16,0,44,65,0.59287,52.55,16,48,0.42924,34.26
13,11,0,9,46,0.45356,29.22,11,27,0.52729,18.56
14,33,1,0,181,0.82876,30.99,7,140,0.92325,17.21
15,23,0,22,84,0.50094,52.94,23,54,0.49676,38.6
16,26,1,42,156,0.91177,52.06,29,174,0.94162,37.47
17,7,0,0,42,0.55438,18.72,2,13,0.54061,7.05
18,10,0,28,41,0.51124,34.35,10,29,0.5269,18.99
19,34,0,52,67,0.39767,61.03,7,56,0.6536,23.97
20,7,1,61,136,0.9333,66.0,37,163,0.88135,51.95
21,30,0,13,67,0.50795,39.57,23,39,0.68205,28.09
22,43,1,17,194,0.89851,34.96,19,144,0.96,24.0
23,12,0,51,78,0.48655,64.86,34,58,0.76607,39.61
24,6,0,15,43,0.36857,32.68,7,24,0.55389,14.58
25,25,1,28,144,0.82947,47.78,28,120,0.95375,32.26
26,21,1,51,157,0.92097,59.38,29,134,0.83819,45.99
27,42,0,19,75,0.54074,44.72,19,36,0.46386,28.11
28,1,1,71,180,0.87079,85.08,39,107,0.76932,54.69
29,4,1,0,196,0.83191,32.95,4,151,0.96,9.88
30,23,1,22,172,0.79419,52.87,23,191,0.90739,38.56
31,3,1,4,157,0.81103,32.91,11,143,0.96,16.28
32,44,0,52,97,0.60473,69.79,53,66,0.5671,58.63
33,6,0,21,94,0.54623,54.13,22,39,0.53347,29.93
34,1,0,71,98,0.47586,85.15,39,75,0.5589,54.88
35,46,1,67,120,0.83007,76.01,18,163,0.82691,43.1
36,49,1,6,190,0.8653,30.78,8,171,0.94559,16.87
37,21,1,50,164,0.78653,74.34,50,143,0.8792,61.23
38,29,1,5,189,0.83237,35.84,12,135,0.94476,18.79
39,2,1,4,97,0.81502,21.2,5,156,0.96,11.04
40,18,1,59,178,0.94024,66.11,6,196,0.81619,40.92
41,26,0,42,68,0.61064,52.12,29,47,0.52693,37.52
42,39,1,61,186,0.84046,80.94,64,189,0.96,69.0
43,24,0,22,87,0.50379,54.25,23,34,0.55491,27.9
44,33,0,0,74,0.57918,31.14,7,30,0.55564,17.22
45,28,0,45,78,0.60257,58.12,40,53,0.5496,45.86
46,16,0,0,36,0.36702,22.79,5,16,0.43694,11.19
47,25,0,14,78,0.64752,36.56,20,32,0.5338,25.59
48,11,1,66,173,0.8989,76.82,52,141,0.87343,63.26
49,19,1,64,157,0.84384,78.52,12,183,0.8748,33.41
50,15,1,30,144,0.78065,55.01,35,194,0.96,41.36
51,11,0,66,90,0.54556,76.91,52,78,0.56429,63.33
52,8,1,37,194,0.88722,54.71,26,162,0.94351,33.68
53,37,1,10,181,0.81319,41.94,12,155,0.96,17.72
54,42,1,65,152,0.90149,73.57,18,121,0.76427,42.28
55,13,1,66,145,0.85416,77.52,51,137,0.93319,56.75
56,46,0,67,89,0.58881,76.05,18,71,0.52398,43.23
57,31,1,38,194,0.88683,55.65,29,189,0.94071,38.49
58,30,0,80,93,0.51697,86.28,59,87,0.57894,70.79
59,8,1,35,198,0.78664,69.78,36,129,0.86937,48.15
60,17,0,40,96,0.60004,62.4,26,43,0.30568,37.8
61,45,1,22,184,0.82925,49.66,13,197,0.96,20.36
62,5,0,11,70,0.52797,38.85,10,23,0.55011,15.85
63,39,0,38,77,0.5027,57.39,23,50,0.49809,36.55
64,9,1,1,183,0.76842,43.15,25,175,0.96,31.0
65,26,0,6,70,0.57307,33.32,15,35,0.60354,22.93
66,44,0,58,77,0.40042,69.39,51,65,0.51995,57.72
67,37,1,7,111,0.80635,27.14,6,167,0.94883,14.24
68,35,0,31,55,0.44978,44.21,7,41,0.55826,22.02
69,2,0,4,38,0.49384,21.21,5,18,0.53296,11.07
70,20,0,0,57,0.5102,27.92,0,22,0.58639,9.1
71,36,1,31,199,0.94746,39.83,18,76,0.88673,24.57
72,28,1,45,185,0.90651,58.09,40,100,0.90237,45.86
73,43,1,45,197,0.94296,53.67,19,162,0.84359,41.37
74,29,0,32,60,0.5303,45.15,21,34,0.53737,27.01
75,41,0,23,85,0.45844,56.58,28,48,0.65959,34.81
76,25,0,28,73,0.55829,47.88,28,39,0.612,32.27
77,10,1,28,186,0.96,34.32,10,50,0.78058,18.78
78,26,1,6,168,0.83137,33.32,15,82,0.8822,22.89
79,24,1,8,147,0.85445,28.23,2,135,0.94458,9.37
80,48,1,54,176,0.92658,62.96,8,134,0.86326,25.23
81,32,1,22,121,0.85893,35.97,12,112,0.92593,19.41
82,0,1,55,142,0.92982,61.11,43,146,0.92206,51.03
83,46,0,40,92,0.31531,75.6,45,59,0.59475,50.67
84,35,1,4,143,0.81095,30.28,7,194,0.9423,17.79
85,40,0,64,88,0.54805,74.85,53,79,0.55487,64.57
86,15,1,44,86,0.72734,55.45,4,160,0.85455,26.69
87,20,1,41,184,0.96,46.72,20,137,0.89237,32.59
88,48,0,54,68,0.35698,63.0,8,60,0.66629,25.35
89,30,1,13,171,0.83201,39.54,23,150,0.96,28.08
90,32,1,22,170,0.81772,48.98,29,131,0.93691,35.44
91,19,1,9,167,0.8478,33.05,17,137,0.96,21.8
92,40,0,31,67,0.49272,49.26,31,48,0.70007,36.1
93,17,1,3,199,0.90131,22.34,4,26,0.86223,7.03
94,30,1,80,129,0.87417,86.17,59,131,0.83673,70.76
95,47,1,42,102,0.89534,48.28,28,151,0.92804,36.85
96,18,1,6,191,0.84411,34.84,8,79,0.92069,13.63
97,41,1,1,193,0.85133,29.54,0,182,0.96,7.28
98,37,0,10,66,0.42625,42.13,12,26,0.58973,17.74
99,29,0,5,68,0.50853,35.96,12,25,0.47548,18.82
100,11,1,9,144,0.85101,29.11,11,199,0.96,18.52
101,29,1,32,196,0.91996,45.13,21,171,0.96,27.0
102,22,0,5,42,0.37327,28.19,6,32,0.5595,17.45
103,39,1,38,155,0.83436,57.38,23,166,0.90533,36.54
104,23,0,39,58,0.6139,46.34,31,42,0.52384,36.24
105,8,0,35,95,0.4197,69.82,36,58,0.44532,48.2
106,47,0,42,56,0.55035,48.3,28,56,0.68325,36.87
107,19,0,9,64,0.5606,33.17,17,29,0.59692,21.84
108,22,0,26,51,0.33889,42.53,1,29,0.55946,13.34
109,43,0,45,67,0.60354,53.72,19,63,0.48983,41.45
110,4,1,38,134,0.83082,54.24,30,126,0.86038,43.4
111,1,1,15,169,0.82279,42.29,18,109,0.92744,24.6
112,16,1,0,141,0.83843,22.78,5,51,0.866,11.16
113,0,0,55,68,0.52926,61.12,43,64,0.61735,51.04
114,0,1,7,82,0.75139,25.65,9,95,0.93653,14.46
115,32,0,22,56,0.58836,36.0,12,24,0.37785,19.47
116,19,0,64,92,0.4807,78.54,12,73,0.64719,33.52
117,3,0,51,81,0.5017,65.95,27,57,0.54313,40.71
118,35,0,4,47,0.38594,30.4,7,27,0.4593,17.81
119,40,1,31,110,0.77092,49.1,31,158,0.96,36.08
120,33,0,35,49,0.55908,41.17,2,57,0.5148,28.69
121,14,1,38,156,0.7681,65.36,41,122,0.87388,51.22
122,5,1,3,175,0.82588,32.95,9,81,0.93708,13.53
123,49,1,27,190,0.96,33.52,15,192,0.95857,22.33
124,36,1,6,194,0.78313,46.77,12,130,0.87923,26.25
125,8,0,37,83,0.61402,54.76,26,43,0.54525,33.73
126,6,1,21,175,0.78592,53.97,22,101,0.89978,29.92
127,5,1,11,188,0.84324,38.75,10,156,0.96,15.84
128,44,1,58,182,0.90824,69.38,51,138,0.92327,57.68
129,44,1,52,169,0.84901,69.67,53,119,0.91524,58.59
130,31,0,38,69,0.4299,55.67,29,49,0.52515,38.5
131,9,0,32,70,0.54685,49.22,17,33,0.74744,21.04
132,15,0,30,79,0.48947,55.02,35,48,0.50922,41.38
133,33,1,35,189,0.96,41.16,2,184,0.85373,28.62
134,38,1,17,191,0.79995,51.81,25,109,0.92202,31.55
135,10,1,16,190,0.81811,47.65,23,158,0.9529,29.36
136,14,0,38,83,0.38687,65.59,41,63,0.53251,51.28
137,5,0,3,72,0.56429,33.06,9,20,0.58666,13.55
138,9,1,32,129,0.824,49.07,17,110,0.95672,21.03
139,46,1,40,188,0.7603,75.48,45,186,0.96,50.64
140,38,0,17,76,0.40715,51.98,25,37,0.45041,31.6
141,35,1,31,131,0.8682,44.18,7,195,0.92038,21.97
142,39,0,61,96,0.42981,80.96,64,77,0.61398,69.02
143,24,0,8,54,0.55972,28.25,2,14,0.38308,9.4
144,2,0,30,68,0.4635,50.39,5,33,0.55561,17.44
145,31,1,26,199,0.84099,53.51,26,149,0.91112,36.93
146,34,1,52,119,0.86677,60.93,7,103,0.82341,23.95
147,49,0,27,40,0.49588,33.55,15,30,0.50946,22.36
148,25,1,14,184,0.86755,36.52,20,159,0.96,25.56
149,47,0,2,54,0.36565,34.99,10,22,0.43433,16.79
150,28,1,32,187,0.89584,48.14,33,96,0.91929,38.08
151,12,0,3,60,0.54506,28.93,10,23,0.59766,15.23
152,9,0,1,87,0.50789,43.32,25,39,0.56869,31.04
153,18,0,6,70,0.54734,34.97,8,21,0.5608,13.71
154,4,0,0,62,0.46812,32.98,4,16,0.50913,9.89
155,24,1,22,137,0.72129,54.05,23,122,0.95057,27.89
156,48,0,8,50,0.53022,27.73,9,21,0.5037,14.96
157,6,1,15,192,0.90014,32.68,7,196,0.96,14.56
158,48,1,8,147,0.85872,27.64,9,157,0.96,14.92
159,41,0,1,57,0.4877,29.69,0,18,0.59444,7.3
160,32,0,22,89,0.59621,49.05,29,42,0.50456,35.44
161,38,1,30,160,0.87849,45.8,7,84,0.86607,17.31
162,45,1,29,179,0.85094,51.36,30,105,0.88409,38.69
163,16,1,44,116,0.88212,52.49,16,192,0.89654,34.21
164,3,0,4,64,0.51537,33.08,11,22,0.51607,16.32
165,38,0,30,62,0.5039,45.88,7,37,0.65492,17.35
166,42,0,65,83,0.51932,73.65,18,74,0.56534,42.34
167,13,0,66,90,0.51493,77.64,51,67,0.6368,56.81
168,14,0,46,92,0.40467,73.39,44,55,0.53369,49.13
169,13,0,11,65,0.44367,41.04,13,24,0.56672,17.77
170,12,1,51,157,0.86955,64.83,34,66,0.82757,39.52
171,45,0,22,74,0.46514,49.81,13,27,0.47378,20.37
172,13,1,11,144,0.77518,40.9,13,132,0.96,17.76
173,49,0,6,51,0.44798,30.84,8,27,0.53252,16.88
174,41,1,23,190,0.79993,56.41,28,196,0.95949,34.81
175,37,0,7,47,0.4917,27.33,6,23,0.51274,14.28
176,12,1,3,163,0.83805,28.91,10,80,0.92539,15.22
177,27,1,44,182,0.8846,59.93,7,140,0.84929,27.04
178,34,0,7,88,0.49283,48.08,20,31,0.54491,25.01
179,7,0,61,72,0.54479,66.01,37,79,0.64235,52.02
180,27,1,26,161,0.80262,52.65,26,144,0.95038,31.86
181,3,1,51,170,0.87469,65.91,27,131,0.86881,40.64
182,18,0,59,73,0.4909,66.13,6,96,0.61159,40.96
183,10,0,16,83,0.52577,47.77,23,34,0.41883,29.39
184,15,0,44,71,0.57486,55.48,4,51,0.51475,26.81
185,34,1,7,117,0.62901,47.81,20,145,0.96,25.0
186,36,0,6,98,0.55507,46.93,12,43,0.53729,26.34
187,1,0,15,72,0.51834,42.45,18,31,0.48862,24.65
188,45,0,29,69,0.43854,51.46,30,50,0.565,38.7
189,20,0,41,53,0.5217,46.74,20,60,0.68465,32.61
190,43,0,17,58,0.56049,35.02,19,36,0.70538,24.01
191,47,1,2,191,0.82596,34.89,10,179,0.96,16.76
192,40,1,64,198,0.91915,74.83,53,110,0.79886,64.46
193,0,0,7,44,0.49327,25.75,9,20,0.5028,14.47
194,21,0,50,91,0.4059,74.36,50,75,0.5477,61.31
195,36,0,31,50,0.53507,39.83,18,33,0.55967,24.6
196,17,1,40,158,0.81026,62.39,26,147,0.90309,37.73
197,42,1,19,178,0.83906,44.59,19,164,0.93741,28.08
198,2,1,30,175,0.85945,50.38,5,142,0.90964,17.38
199,21,0,51,71,0.57912,59.42,29,70,0.58375,46.07
